Periodo,Exportación,Importación,Saldo
Total,Productos agropecuarios a,Productos agroindustriales,Total,Productos agropecuarios a,Productos agroindustriales
Total,Alimentos, bebidas y tabaco,Productos químicos,Productos textiles y del cuero,Otras manufacturas,Total,Alimentos, bebidas y tabaco,Productos químicos,Productos textiles y del cuero,Otras manufacturas
2018
Enero,2867080,1603796,1263283,1242427,16472,4340,44,2165224,953488,1211736,1159544,36796,10791,4605,701855
Febrero,2988778,1524793,1463985,1435594,22773,5556,62,2070412,863716,1206697,1148764,39323,13477,5132,918366
Marzo,3521652,1779657,1741995,1712814,22473,6657,51,2269144,1068543,1200600,1143413,35300,13972,7915,1252508
Abril,3179619,1575225,1604395,1584352,13820,5994,228,2409594,1077823,1331771,1267654,39396,16689,8032,770026
Mayo,3262302,1588618,1673684,1646821,22145,4618,100,2549945,1220464,1329481,1262487,39327,17446,10221,712357
Junio,2772319,1243492,1528827,1511888,14750,1885,303,2341275,1096210,1245065,1182454,36371,16862,9377,431044
Julio,2668195,1052821,1615374,1603000,11531,638,205,2439667,1184312,1255355,1196430,36209,13983,8733,228528
Agosto,2606529,1026581,1579949,1565008,13835,944,162,2505198,1141141,1364057,1294536,45331,16039,8151,101331
Septiembre,2288842,901412,1387430,1375588,10854,643,344,2319230,1087619,1231611,1171720,37962,14434,7494,-30388
Octubre,2876027,1266022,1610005,1598843,10404,604,154,2721359,1341299,1380060,1313921,44634,15482,6022,154668
Noviembre,2841913,1373131,1468782,1457881,9885,998,17,2476200,1182473,1293726,1237303,39989,10938,5496,365713
Diciembre,2976221,1572024,1404197,1389475,10619,4097,6,2162538,1005078,1157460,1103410,36918,11618,5515,813684
2019
Enero,2967528,1634444,1333084,1315059,12456,5464,105,2376047,1132838,1243209,1183248,42451,10494,7015,591481
Febrero,3154682,1589368,1565313,1543942,13333,7983,55,2087998,960976,1127021,1077496,33557,10445,5523,1066684
Marzo,3509887,1741532,1768355,1740171,18054,10017,113,2155093,970675,1184418,1126248,39763,11761,6646,1354794
Abril,3714672,1921290,1793382,1772742,14348,6284,9,2390883,1152836,1238047,1181160,39040,12153,5695,1323789
Mayo,3464187,1618355,1845832,1823827,17803,4174,27,2425596,1095066,1330530,1266310,43276,14048,6895,1038591
Junio,3026651,1321466,1705185,1689919,12533,2709,24,2133767,901081,1232686,1180726,34985,10751,6224,892884
Julio,3011077,1237762,1773314,1760316,11858,1126,13,2608294,1184440,1423855,1360042,44641,11636,7537,402782
Agosto,2724761,1062723,1662039,1649953,11351,727,8,2643535,1255761,1387774,1330883,41075,10522,5294,81227
Septiembre,2641549,1034004,1607545,1597426,9474,565,79,2381357,1098653,1282704,1228491,39526,9108,5579,260192
Octubre,3033945,1374258,1659687,1648653,10750,268,16,2694605,1275020,1419585,1362723,39771,11829,5262,339340
Noviembre,3037620,1548672,1488949,1476773,10370,1625,180,2406600,1081259,1325341,1268002,42792,8874,5673,631020
Diciembre,3289540,1755633,1533907,1521931,8814,3154,9,2448312,1106771,1341541,1285393,45084,6558,4506,841228
2020
Enero  R,3238181,1794795,1443386,1429888,9244,4247,7,2443819,1083963,1359856,1303408,42773,8213,5463,794362
Febrero,3323277,1702104,1621173,1602796,12012,6336,30,2246797,1037295,1209503,1161935,33726,9727,4115,1076479
Marzo,3916366,2063127,1853239,1835402,13194,4620,23,2406524,1103440,1303084,1242648,43589,11493,5354,1509841
Abril,3614209,1763567,1850641,1830355,17455,2773,58,2151818,1042508,1109310,1052481,46741,3959,6128,1462390
Mayo,3030131,1479423,1550709,1536684,12530,1329,167,1888428,923422,965006,914458,43218,2799,4531,1141704
Junio,3561120,1737886,1823234,1809116,13307,674,136,2084345,990233,1094112,1040135,45531,4211,4235,1476775
Julio,2812197,1077508,1734689,1717868,15657,1102,63,2175648,1071188,1104460,1051111,41348,6836,5164,636550
Agosto,2803930,1009939,1793991,1778990,13977,865,159,2062861,992195,1070666,1020754,36620,7618,5674,741069
Septiembre,3023891,1233602,1790289,1775626,13763,829,71,2160651,1009394,1151257,1098725,41692,6142,4698,863240
Octubre,3247359,1452255,1795104,1786295,7993,718,97,2474848,1228502,1246346,1193547,39858,7675,5267,772511
Noviembre,3331896,1565440,1766456,1754082,10778,1567,29,2374539,1072048,1302491,1247753,40010,9790,4939,957357
Diciembre,3622436,1802881,1819555,1807028,9928,2585,13,2708159,1241033,1467126,1405830,46458,10399,4440,914277
a Incluye productos pesqueros. R Cifras revisadas a partir de la fecha en que se indica.Fuente:SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México. SNIEG. Información de Interés Nacional.Fecha de actualización: Miércoles, 17 de Febrero de 2021

